tournament,round,game,game_date,player_name,player_team,player_team_seed,player_minutes,opponent_team,opponent_team_seed,game_points_spread,favored_team,player_team_favored,prop_platform,prop_platform_type,prop_market,prop_line,prop_id,number_times_identified,data_source,file_date
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,fantasy_score,20.5,cayden_boozer_prizepicks_fantasy_score_no_1_duke_vs_no_16_siena_20260319,32,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_assists,13.5,cayden_boozer_prizepicks_points_assists_no_1_duke_vs_no_16_siena_20260319,27,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points,9.5,cayden_boozer_prizepicks_points_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds_assists,17.5,cayden_boozer_prizepicks_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,25,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds,13.5,cayden_boozer_prizepicks_points_rebounds_no_1_duke_vs_no_16_siena_20260319,32,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,rebounds_assists,7,cayden_boozer_prizepicks_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,20,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,assists,4.5,cayden_boozer_sleeper_assists_no_1_duke_vs_no_16_siena_20260319,3,rotowire_subscription,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,points,9.5,cayden_boozer_sleeper_points_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,points_rebounds_assists,16.5,cayden_boozer_sleeper_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,22,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,thescore,sportsbook,points,9.5,cayden_boozer_thescore_points_no_1_duke_vs_no_16_siena_20260319,6,"scraped_rotowire, bettingpros",2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,assists,4.5,cayden_boozer_underdog_assists_no_1_duke_vs_no_16_siena_20260319,1,rotowire_subscription,2026-03-18
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,points,9.5,cayden_boozer_underdog_points_no_1_duke_vs_no_16_siena_20260319,15,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,points_rebounds_assists,17.5,cayden_boozer_underdog_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,13,rotowire_subscription,"2026-03-16, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,rebounds,3.5,cayden_boozer_underdog_rebounds_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Dame Sarr,Duke,1,31,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,points,8.5,dame_sarr_caesars_points_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Dame Sarr,Duke,1,31,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,rebounds,4.5,dame_sarr_caesars_rebounds_no_1_duke_vs_no_16_siena_20260319,26,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
